Item Name ,Price (USD),Quantity,Total Price (USD),Purchase Link
PCB Order,$95.36,1,$95.36,https://trade.jlcpcb.com/checkout/payMethod/?unionSettleId=d344786b30a9436bb2d3a29543592d78&systemType=order_pcb&orderTypes=order_pcb&calType=PRE_CAL&spm=Jlcpcb.Partcart.1002
Gold-Plated Hand Breakaway Female Pin Header Strips,12.98,1,12.98,https://www.amazon.com/Exclusive-2-54mm-1x42pin-2x42pin-Break-Away/dp/B0BK87GBM3/ref=sr_1_3?crid=WB8L7NTJ8YNE&dib=eyJ2IjoiMSJ9.0_q2gUU3BDbBS6-KRA75S2urnusFB_i2PvMFpmLSs5ycr3pZNwbDTXSbUcqHhuWH8pWViBCFstl4AAQq35GDMyhfK7j6XpjYAl0jR3-HdXBRFI2AY80SKwEd1JgCKtwGiVAFMrYVYNpfPQZD0XQahGHfUjNV7YtLjdMb5_xASTgteME_UR0qDfoIpkye0zUmWPmC38CfCyl3aYDZAAISOzteBiRoL5rLCNIBNHvikpA.9WomwMHKj3RVr_pObc2b1l_zW-eBeGhzmJ71PzQUrzU&dib_tag=se&keywords=female+header+pins+breakaway&qid=1752186883&sprefix=female+header+pins+%2Caps%2C144&sr=8-3
7.4 5200aH Lipo,15.97,1,12.98,https://www.amazon.com/Zeee-5200mAh-Battery-Truggy-Airplane/dp/B06ZYRCPS3/ref=sr_1_8?crid=2ASSDZ1P871T4&dib=eyJ2IjoiMSJ9.fFYJcK6tFgPVZX92BU1Qr1bwiZygkRVL3eSc7l1W0jVarwN4a8dTREeLakQ_79051NPQnE3rZzvxoMzgURA1dzvyxfO7sEbR4neutLl54Go-1aTMQkhkVUm6wAzEBk0E5E9j9v-EOWDCeYSD7xTRsvYo2XPbmKKncB1yhpVOX9mjHRvlWMikw37oBmqnLeDq-Bq6fT2HrQEH1_-RCfRdbo2P-1Z6ggM5jeV9KrvcW_gdA-vQOd9zoGBXxDTKJ_64OqoS81rGwlNkPJZJ_lz2rbSAxwmox9b89lqvyqayLpY.a5zXjxZ9Daj08HKF-XtwC0-jyVNMHQBRlG5WPRbvkj0&dib_tag=se&keywords=lipo+7.4&qid=1752192841&sprefix=lipo+7.4%2Caps%2C128&sr=8-8
ACS712 Current Sensor,2.92,2,5.84,https://www.digikey.com/en/product-highlight/a/allegro-microsystems/acs712-current-sensor-ic
WS2812B Individual LEDS,0.85,10,8.5,https://www.amazon.com/Adafruit-5050-Integrated-Driver-Chip/dp/B00SK8LY9A/ref=sr_1_2?crid=9X9V5FNH6JYE&dib=eyJ2IjoiMSJ9.E3DETetJQy4TmXOWQc1__t4rJoUujVWt9l9m0iUhmF9KNAXlUYMx4SX43gV2RMAldJoG3bHLg-Xwsa-V8Dr70ioyg_IVSurbNLd1ZFJ2TtXv6wAsELUH21RrF62d9ySdGfWmgWREI99U3FA5Q3CCUxZiCrd66P_hhvcR39Ei6p7PrTd3GC_0lBvLVCNFwPBwjEMZvtpFZXiowIPhbMenQ2iGz8uwzjtVOppZq6Rp7YeL3Kld0jA3juVwkUBgyhKZ_bAStMO91O-liehei2O80lutkOn3wwGB-gImLHkcaWE.M68lC7mJOSug6j77N4qVszWAWHaeQLCRtd2wcbniXm8&dib_tag=se&keywords=NeoPixel+5050+RGB+LED+with+Integrated+Driver+Chip+-+10+Pack+Product+ID%3A+1655&qid=1752191648&sprefix=neopixel+5050+rgb+led+with+integrated+driver+chip+-+10+pack+product+id+1655%2Caps%2C199&sr=8-2
10pc Buzzers,6.99,1,6.99,https://www.amazon.com/mxuteuk-Electronic-Computers-Printers-Components/dp/B07VK1GJ9X/ref=sr_1_37?crid=3DRMQ5IHRZLL4&dib=eyJ2IjoiMSJ9.OYSsejQHOzqpX-XJLBp3bHy1g0C72_Z7wc3_k_ggjunqNiVpZcbccZZnByW1-kdIsNZn4XHJnct1xX-C9EE_nDOsWNRyFl0YW6rVQhg52xlKiFhBTnTx_fpv4TyThljJbAangGvx6tpJ6pKyIrZ1DEG315bYOY1E3hrIJeFpL052jblzF5nFEWfxFJqOQqZwWNUe6GZ_H2oA2IwP88R2Oq8-YqYb1YUMF4t4oTjmY0MitNuTDwMlaup508tN17Ed4ABvz0YY3229jEh77rptJtqW-aHv75nnwaTTH-HgNf4.UpAv3fGeaA9a0vbP6Io4eMeopnRxmVkR1GBBwbAwqOA&dib_tag=se&keywords=buzzer&qid=1752191758&sprefix=buzzer%2Caps%2C150&sr=8-37
Total Cost,,,$142.65,
